time_stamp,cpu,mem
1970-01-03 00:20:00,56.0,94.0
1970-01-03 00:25:00,54.0,90.0
1970-01-03 00:30:00,38.0,92.0
1970-01-03 00:35:00,35.0,91.0
1970-01-03 00:40:00,42.0,88.0
1970-01-03 00:45:00,35.0,90.0
1970-01-03 00:50:00,31.0,88.0
1970-01-03 00:55:00,30.0,87.0
1970-01-03 01:00:00,28.0,89.0
1970-01-03 01:05:00,34.0,94.0
1970-01-03 01:10:00,31.0,92.0
1970-01-03 01:15:00,34.0,93.0
1970-01-03 01:20:00,56.0,96.0
1970-01-03 01:25:00,30.0,87.0
1970-01-03 01:30:00,40.0,88.0
1970-01-03 01:35:00,33.0,88.0
1970-01-03 01:40:00,34.0,90.0
1970-01-03 01:45:00,36.0,89.0
1970-01-03 01:50:00,34.0,87.0
1970-01-03 01:55:00,28.0,86.0
1970-01-03 02:00:00,36.0,89.0
1970-01-03 02:05:00,29.0,89.0
1970-01-03 02:10:00,44.0,94.0
1970-01-03 02:15:00,31.0,87.0
1970-01-03 02:20:00,24.0,85.0
1970-01-03 02:25:00,36.0,90.0
1970-01-03 02:30:00,32.0,88.0
1970-01-03 02:35:00,43.0,93.0
1970-01-03 02:40:00,33.0,90.0
1970-01-03 02:45:00,27.0,90.0
1970-01-03 02:50:00,28.0,91.0
1970-01-03 02:55:00,23.0,89.0
1970-01-03 03:00:00,38.0,92.0
1970-01-03 03:05:00,48.0,94.0
1970-01-03 03:10:00,38.0,92.0
1970-01-03 03:15:00,36.0,89.0
1970-01-03 03:20:00,31.0,89.0
1970-01-03 03:25:00,38.0,88.0
1970-01-03 03:30:00,23.0,87.0
1970-01-03 03:35:00,33.0,89.0
1970-01-03 03:40:00,48.0,93.0
1970-01-03 03:45:00,38.0,89.0
1970-01-03 03:50:00,33.0,92.0
1970-01-03 03:55:00,44.0,90.0
1970-01-03 04:00:00,35.0,90.0
1970-01-03 04:05:00,28.0,89.0
1970-01-03 04:10:00,46.0,92.0
